# id: Unique edge ID
# source: Source node ID
# target: Target node ID
# relation: contains | imports | calls | inherits | references
# lineno: Line number where relation occurs
# end_lineno: End line number where relation occurs
id,source,target,relation,lineno,end_lineno
b180822f367330d4,88f254547fd7553e,518fa6de2b5ca646,contains,,
e3cd55d416e92630,518fa6de2b5ca646,9bf45c862c9b259b,contains,,
4461cce6a75b9357,518fa6de2b5ca646,ad6a90a3221787ab,contains,,
1bc0470b91af9aea,518fa6de2b5ca646,bca0b8b2a97fe07e,contains,,
db89f95f26c80185,518fa6de2b5ca646,2ad81157983979ea,contains,,
ed2cee299e70440f,518fa6de2b5ca646,e8c475ae19653413,contains,,
814d5c595f841ccd,518fa6de2b5ca646,61f1db4ed1c378ce,contains,,
97fd4821291492d7,518fa6de2b5ca646,817376b54e3246a2,contains,,
c0ad31a65d72b23e,518fa6de2b5ca646,f05d2c687f695ab8,contains,,
d88ea91a1ef58a9e,518fa6de2b5ca646,9ad6f1d7e67c48f6,contains,,
7389fd21aa2220e0,518fa6de2b5ca646,5e703d95448cc12e,contains,,
27f58d2bffe952b8,518fa6de2b5ca646,379cf9031718bc83,contains,,
d18b9a2876ee5bf4,518fa6de2b5ca646,98fbd7bd5466cbf6,contains,,
a113897f4d83e16f,518fa6de2b5ca646,ef20464cd03db127,contains,,
815e700567763c9c,d24943141733c9ce,5f7c2451073d7133,contains,,
35970abe12aedda1,d24943141733c9ce,412390986212a0c4,contains,,
93848ecb1d41c8a2,412390986212a0c4,ca7c8b0ed79a1f1d,contains,,
2f6a4b20a3d41c75,412390986212a0c4,b9cb0c32a562bcea,contains,,
4ae6b15ead0eb4a7,412390986212a0c4,58e5fdf99e5b2809,contains,,
3b50ac56d44dc512,412390986212a0c4,a0cd154f71244cad,contains,,
8ab3382a635e36db,412390986212a0c4,be1cde83a03a42d1,contains,,
c1c65e397e720ab5,412390986212a0c4,bb007d5b33fd84d7,contains,,
ba6f3331b3467d6d,412390986212a0c4,e448a7eb64ccd072,contains,,
8138f29175e52883,412390986212a0c4,002b01e06cc889dd,contains,,
b67b93242da4c067,412390986212a0c4,1f4b194e9188b5ed,contains,,
1c9f2d1911aa4834,412390986212a0c4,c9c83ad439a7b95b,contains,,
a04fe38caef83d62,b289a1cca3d5ca1f,14329b9007151c9b,contains,,
248736a5d2f47738,51a4aa3f99350a2d,84583bbe91f4b1a3,contains,,
98ad824a86c5092d,84583bbe91f4b1a3,a0a8553dd4b74141,contains,,
02181b3c28cbe940,84583bbe91f4b1a3,38f920077358d050,contains,,
0f6d54fc08dc277b,84583bbe91f4b1a3,80515a77d5a543df,contains,,
4b9a4c219b628054,84583bbe91f4b1a3,6ee33ff451a9a623,contains,,
5e7cef85443a61c9,84583bbe91f4b1a3,44300fb3319f8d7b,contains,,
9b4edb648118a71a,84583bbe91f4b1a3,912fe5ee0108a1a7,contains,,
4421428c2ad6a108,84583bbe91f4b1a3,e2238828b64db8c2,contains,,
75561e7db9aa44f8,84583bbe91f4b1a3,5667acab2e06bd21,contains,,
c2ec55dc4ab6d3b0,29e3ebd408e30885,deb6b1209bfae9ff,contains,,
02c8da2c0589a416,deb6b1209bfae9ff,39dd0bde1cc3faab,contains,,
8f6937ebe163f2f5,deb6b1209bfae9ff,68b32c842e7c171d,contains,,
65db1f01bf2eb628,deb6b1209bfae9ff,f38945edf095f86f,contains,,
